Signal: -0.1952 | Raw: 592
Signal: -0.0804 | Raw: 574
Signal: -0.1776 | Raw: 368
Signal: -0.2616 | Raw: 277
Signal: -0.1361 | Raw: 447
Signal: -0.2474 | Raw: 239
Signal: -0.1522 | Raw: 665
Signal: 0.0617 | Raw: 923
Signal: 0.1227 | Raw: 1117
Signal: 0.6544 | Raw: 2011
Signal: 0.5426 | Raw: 1791
Signal: -0.0467 | Raw: 701
Signal: -0.0462 | Raw: 685
Signal: -0.0951 | Raw: 624
Signal: -0.0023 | Raw: 735
Signal: -0.0443 | Raw: 640
Signal: -0.0418 | Raw: 796
Signal: 0.0504 | Raw: 817
Signal: -0.0658 | Raw: 592
Signal: 0.0431 | Raw: 4095
Signal: 1.0000 | Raw: 3447
Signal: 1.0000 | Raw: 4095
Signal: 1.0000 | Raw: 3261
Signal: 1.0000 | Raw: 2946
Signal: 1.0000 | Raw: 2934
Signal: 1.0000 | Raw: 2738
Signal: 1.0000 | Raw: 4095
Signal: 1.0000 | Raw: 2978
Signal: 0.8971 | Raw: 2385
Signal: 0.5695 | Raw: 1902
Signal: 0.5802 | Raw: 1868
Signal: -0.0418 | Raw: 991
Signal: 0.3117 | Raw: 1395
Signal: 0.2614 | Raw: 1235
Signal: 0.2199 | Raw: 1201
Signal: 0.3170 | Raw: 1442
Signal: 0.2384 | Raw: 1213
Signal: -0.0062 | Raw: 4095
Signal: 1.0000 | Raw: 3179
Signal: 1.0000 | Raw: 2691
Signal: 0.7707 | Raw: 2297
Signal: 0.9372 | Raw: 3153
Signal: -0.0487 | Raw: 832
Signal: 0.0416 | Raw: 809
Signal: -0.0926 | Raw: 509
Signal: -0.1839 | Raw: 428
Signal: 1.0000 | Raw: 4095
Signal: -0.0624 | Raw: 943
Signal: 1.0000 | Raw: 3952
Signal: 1.0000 | Raw: 3271
Signal: 1.0000 | Raw: 2960
Signal: 1.0000 | Raw: 2845
Signal: -0.0838 | Raw: 654
Signal: 0.0216 | Raw: 887
Signal: 0.0329 | Raw: 780
Signal: -0.1000 | Raw: 509
Signal: -0.1639 | Raw: 439
Signal: -0.0824 | Raw: 720
Signal: 0.0978 | Raw: 1116
Signal: 1.0000 | Raw: 3694
Signal: 1.0000 | Raw: 2830
Signal: 0.8439 | Raw: 2295
Signal: -0.0365 | Raw: 850
Signal: 0.1056 | Raw: 957
Signal: 0.1774 | Raw: 1264
Signal: 0.8141 | Raw: 2315
Signal: 0.6325 | Raw: 1948
Signal: 1.0000 | Raw: 4095
Signal: 1.0000 | Raw: 2845
Signal: 0.8473 | Raw: 2319
Signal: 0.6754 | Raw: 2082
Signal: 0.5177 | Raw: 1717
Signal: -0.0194 | Raw: 1018
Signal: 0.2912 | Raw: 1398
Signal: 0.3483 | Raw: 1429
Signal: 0.2951 | Raw: 1360
Signal: 0.5499 | Raw: 4095
Signal: -0.1361 | Raw: 715
Signal: 1.0000 | Raw: 4095
Signal: 1.0000 | Raw: 3015
Signal: 0.9430 | Raw: 2517
Signal: 0.7531 | Raw: 2282
Signal: -0.0819 | Raw: 760
Signal: 0.1344 | Raw: 969
Signal: 0.0480 | Raw: 845
Signal: -0.0555 | Raw: 574
Signal: -0.1517 | Raw: 592
Signal: -0.0731 | Raw: 752
Signal: 0.1530 | Raw: 1279
Signal: 1.0000 | Raw: 4095
Signal: 1.0000 | Raw: 3280
Signal: 1.0000 | Raw: 2992
Signal: 1.0000 | Raw: 2960
Signal: -0.0741 | Raw: 704
Signal: -0.0189 | Raw: 795
Signal: 0.0124 | Raw: 759
Signal: -0.0887 | Raw: 509
Signal: -0.2152 | Raw: 337
Signal: -0.0555 | Raw: 779
Signal: 0.0885 | Raw: 1143
Signal: 1.0000 | Raw: 4095
Signal: 1.0000 | Raw: 3015
Signal: 0.9674 | Raw: 2555
Signal: -0.0702 | Raw: 761
Signal: 0.0734 | Raw: 912
Signal: 0.1676 | Raw: 1168
Signal: 0.1984 | Raw: 1163
Signal: 0.1535 | Raw: 1011
Signal: -0.0716 | Raw: 705
Signal: -0.0746 | Raw: 554
Signal: -0.1048 | Raw: 687
Signal: 1.0000 | Raw: 3687
Signal: 1.0000 | Raw: 2608
Signal: 0.6408 | Raw: 2083
Signal: 0.6364 | Raw: 2039
Signal: 0.6681 | Raw: 2096
Signal: 0.7370 | Raw: 2289
Signal: 0.7335 | Raw: 2221
Signal: -0.0501 | Raw: 788
Signal: 0.0138 | Raw: 779
Signal: -0.0721 | Raw: 560
Signal: -0.1659 | Raw: 528
Signal: 1.0000 | Raw: 4095
Signal: -0.0975 | Raw: 849
Signal: 1.0000 | Raw: 4095
Signal: 1.0000 | Raw: 2965
Signal: 0.9279 | Raw: 2451
Signal: 0.7062 | Raw: 2192
Signal: -0.0409 | Raw: 796
Signal: 0.0875 | Raw: 1103
Signal: 1.0000 | Raw: 4095
Signal: 1.0000 | Raw: 3265
Signal: 1.0000 | Raw: 2899
Signal: -0.0580 | Raw: 709
Signal: -0.0404 | Raw: 688
Signal: 0.0070 | Raw: 815
Signal: -0.0575 | Raw: 621
Signal: -0.1307 | Raw: 442
Signal: -0.0165 | Raw: 946
Signal: 0.2135 | Raw: 1203
Signal: 0.2140 | Raw: 1253
Signal: 1.0000 | Raw: 4095
Signal: 1.0000 | Raw: 3339
Signal: 1.0000 | Raw: 4095
Signal: 1.0000 | Raw: 2962
Signal: 0.9181 | Raw: 2485
Signal: 0.7843 | Raw: 2322
Signal: 0.6837 | Raw: 2066
Signal: 0.5626 | Raw: 1802
Signal: -0.0565 | Raw: 762
Signal: -0.0057 | Raw: 688
Signal: -0.1454 | Raw: 497
Signal: 1.0000 | Raw: 4095
Signal: 1.0000 | Raw: 3084
Signal: 1.0000 | Raw: 4095
Signal: 1.0000 | Raw: 3677
Signal: 1.0000 | Raw: 3248
Signal: 1.0000 | Raw: 2992
Signal: 1.0000 | Raw: 3047
Signal: -0.0985 | Raw: 752
Signal: 0.0524 | Raw: 848
Signal: -0.0194 | Raw: 657
Signal: -0.1668 | Raw: 406
Signal: -0.0794 | Raw: 715
Signal: -0.0814 | Raw: 776
Signal: 1.0000 | Raw: 4095
Signal: 1.0000 | Raw: 3389
Signal: 1.0000 | Raw: 2815
Signal: 0.8195 | Raw: 2363
Signal: -0.0668 | Raw: 786
Signal: 0.0431 | Raw: 956
Signal: 0.2287 | Raw: 1231
Signal: 0.2077 | Raw: 1130
Signal: 0.1295 | Raw: 1009
Signal: -0.0213 | Raw: 769
Signal: -0.0531 | Raw: 655
Signal: -0.0892 | Raw: 653
Signal: -0.0389 | Raw: 640
Signal: -0.1112 | Raw: 511
Signal: 0.0040 | Raw: 989
Signal: 0.2619 | Raw: 1331
Signal: 0.2711 | Raw: 1309
Signal: 0.3341 | Raw: 1604
Signal: 1.0000 | Raw: 3803
Signal: -0.1336 | Raw: 663
Signal: 1.0000 | Raw: 3582
Signal: 1.0000 | Raw: 2676
Signal: 0.7692 | Raw: 2160
Signal: 0.5148 | Raw: 1837
Signal: -0.0721 | Raw: 715
Signal: 0.1290 | Raw: 1089
Signal: 0.1408 | Raw: 991
Signal: 0.0016 | Raw: 703
Signal: -0.0726 | Raw: 677
Signal: -0.1048 | Raw: 688
Signal: 0.2472 | Raw: 4095
Signal: 1.0000 | Raw: 3725
Signal: 1.0000 | Raw: 3143
Signal: 1.0000 | Raw: 2864
Signal: 1.0000 | Raw: 2866
Signal: -0.0580 | Raw: 817
Signal: 0.0045 | Raw: 735
Signal: -0.0555 | Raw: 624
Signal: -0.1996 | Raw: 333
Signal: -0.0770 | Raw: 4095
Signal: -0.0824 | Raw: 902
Signal: 1.0000 | Raw: 4095
Signal: 1.0000 | Raw: 3281
Signal: 1.0000 | Raw: 2805
Signal: 0.9606 | Raw: 2678
Signal: -0.1190 | Raw: 758
Signal: 1.0000 | Raw: 3866
Signal: 1.0000 | Raw: 2908
Signal: 0.9264 | Raw: 2485
Signal: 0.7677 | Raw: 2342
Signal: -0.0858 | Raw: 660
Signal: 0.0778 | Raw: 889
Signal: 0.0148 | Raw: 752
Signal: -0.1263 | Raw: 448
Signal: -0.2079 | Raw: 474
Signal: -0.0682 | Raw: 784
Signal: 0.1886 | Raw: 1331
Signal: 1.0000 | Raw: 3806
Signal: 1.0000 | Raw: 3159
Signal: 1.0000 | Raw: 2861
Signal: -0.0731 | Raw: 721
Signal: -0.0252 | Raw: 683
Signal: 0.0382 | Raw: 803
Signal: -0.0267 | Raw: 677
Signal: -0.1625 | Raw: 404
Signal: -0.0360 | Raw: 819
Signal: 0.0236 | Raw: 801
Signal: 0.2033 | Raw: 4095
Signal: 1.0000 | Raw: 3345
Signal: 1.0000 | Raw: 2651
Signal: -0.0340 | Raw: 812
Signal: 0.0983 | Raw: 999
Signal: 0.1378 | Raw: 1143
Signal: 0.2584 | Raw: 1283
Signal: 0.2755 | Raw: 1296
Signal: -0.0628 | Raw: 720
Signal: -0.0345 | Raw: 644
Signal: -0.1737 | Raw: 400
Signal: -0.0443 | Raw: 4095
Signal: 1.0000 | Raw: 3070
Signal: 1.0000 | Raw: 4095
Signal: 1.0000 | Raw: 3636
Signal: 1.0000 | Raw: 3233
Signal: 1.0000 | Raw: 3083
Signal: 1.0000 | Raw: 2928
Signal: -0.0975 | Raw: 762
Signal: 0.1134 | Raw: 977
Signal: 0.0509 | Raw: 800
Signal: -0.0785 | Raw: 599
Signal: -0.0418 | Raw: 798
Signal: 1.0000 | Raw: 3308
Signal: -0.0643 | Raw: 885
Signal: 0.0939 | Raw: 907
Signal: 0.0407 | Raw: 807
Signal: -0.0995 | Raw: 505
Signal: -0.0614 | Raw: 1156
Signal: -0.0838 | Raw: 817
Signal: 1.0000 | Raw: 4095
Signal: 1.0000 | Raw: 3559
Signal: 1.0000 | Raw: 3071
Signal: 1.0000 | Raw: 3002
Signal: -0.1444 | Raw: 582
Signal: 0.0509 | Raw: 4095
Signal: 1.0000 | Raw: 3124
Signal: 0.9411 | Raw: 2480
